title,Links,Average_score,number_of_comments,Feedback
Нодамэ Кантабиле. Европейское турне,http://www.world-art.ru/cinema/cinema.php?id=20096,0,0,
Полночное солнце (фильм),http://www.world-art.ru/cinema/cinema.php?id=18184,0,0,
Почтальон с небес,http://www.world-art.ru/cinema/cinema.php?id=31434,0,0,
Полководцы,http://www.world-art.ru/cinema/cinema.php?id=20267,0,0,
Гараж,http://www.world-art.ru/cinema/cinema.php?id=4480,0,0,
Белый Клык,http://www.world-art.ru/cinema/cinema.php?id=11348,0,0,
Битва у Красной Скалы 2,http://www.world-art.ru/cinema/cinema.php?id=26713,0,0,
Воин,http://www.world-art.ru/cinema/cinema.php?id=66210,0,0,
Бесстрашный,http://www.world-art.ru/cinema/cinema.php?id=13727,0,0,
Холодное лето пятьдесят третьего...,http://www.world-art.ru/cinema/cinema.php?id=4339,0,0,
Нюрнбергский процесс,http://www.world-art.ru/cinema/cinema.php?id=11931,0,0,
Приключения пингвинёнка Лоло,http://www.world-art.ru/cinema/cinema.php?id=35043,0,0,
Д`Артаньян и три мушкетера,http://www.world-art.ru/cinema/cinema.php?id=4311,0,0,
"Знакомьтесь, Джо Блэк",http://www.world-art.ru/cinema/cinema.php?id=5403,0,0,
Все псы попадают в рай,http://www.world-art.ru/cinema/cinema.php?id=36993,0,0,
Великий учитель Онидзука (ТВ-спэшл),http://www.world-art.ru/cinema/cinema.php?id=17600,0,0,
Профессионал,http://www.world-art.ru/cinema/cinema.php?id=73842,0,0,
Долина Папоротников: Последний тропический лес,http://www.world-art.ru/cinema/cinema.php?id=26534,0,0,
Любовь и честь,http://www.world-art.ru/cinema/cinema.php?id=18555,0,0,
Скрытый клинок,http://www.world-art.ru/cinema/cinema.php?id=10468,0,0,
Сердце дракона,http://www.world-art.ru/cinema/cinema.php?id=9084,0,0,
Малена,http://www.world-art.ru/cinema/cinema.php?id=8684,0,0,
Последний меч самурая,http://www.world-art.ru/cinema/cinema.php?id=11972,0,0,
Океаны,http://www.world-art.ru/cinema/cinema.php?id=25256,0,0,
Телохранитель,http://www.world-art.ru/cinema/cinema.php?id=30984,0,0,
Труп невесты,http://www.world-art.ru/cinema/cinema.php?id=25227,0,0,
Могила светлячков,http://www.world-art.ru/cinema/cinema.php?id=20475,0,0,
Операция «Любовь» (спецвыпуск),http://www.world-art.ru/cinema/cinema.php?id=21164,0,0,
Анастасия,http://www.world-art.ru/cinema/cinema.php?id=26535,0,0,
Для тебя во всем цвету: спецвыпуск,http://www.world-art.ru/cinema/cinema.php?id=21178,0,0,
Чудо в камере №7,http://www.world-art.ru/cinema/cinema.php?id=47434,0,0,
